subsystem,cpp_files,compiled_cpp,detached_cpp,state,detached_files,alignment_note
achievement,1,1,0,ACTIVE_BUILD,,
ai,3,3,0,ACTIVE_BUILD,,
appearance,2,2,0,ACTIVE_BUILD,,
application,2,2,0,ACTIVE_BUILD,,
audio,2,2,0,ACTIVE_BUILD,,
cargo,1,1,0,ACTIVE_BUILD,,
celestial,7,7,0,ACTIVE_BUILD,,
character,1,1,0,ACTIVE_BUILD,,
client,4,0,4,DETACHED_REFERENCE,engine/src/client/ClientAppScaffold.cpp | engine/src/client/ClientParticleFx.cpp | engine/src/client/VisualAcceptanceModel.cpp | engine/src/client/Win32PlayableClient.cpp,Alternate visual/client lane currently detached; NativeGameApplication is production shell.
combat,13,13,0,ACTIVE_BUILD,,
construction,2,2,0,ACTIVE_BUILD,,
content,15,15,0,ACTIVE_BUILD,,
core,2,2,0,ACTIVE_BUILD,,
crafting,4,4,0,ACTIVE_BUILD,,
crew,1,1,0,ACTIVE_BUILD,,
debug_tools,4,4,0,ACTIVE_BUILD,,
developer,36,36,0,ACTIVE_BUILD,,
diplomacy,1,1,0,ACTIVE_BUILD,,
economy,8,8,0,ACTIVE_BUILD,,
editor,12,12,0,ACTIVE_BUILD,,
effects,4,4,0,ACTIVE_BUILD,,
expedition,4,0,4,DETACHED_REFERENCE,engine/src/expedition/AdventureLaunchPlanner.cpp | engine/src/expedition/ExpeditionContractBoard.cpp | engine/src/expedition/ExpeditionRewardResolver.cpp | engine/src/expedition/ExpeditionRun.cpp,Historical/optional-campaign lane; do not reactivate wholesale.
factions,5,5,0,ACTIVE_BUILD,,
fleet,10,10,0,ACTIVE_BUILD,,
flight,2,2,0,ACTIVE_BUILD,,
formation,1,1,0,ACTIVE_BUILD,,
hangar,4,4,0,ACTIVE_BUILD,,
home,24,0,24,DETACHED_REFERENCE,engine/src/home/HomeAutomationScheduler.cpp | engine/src/home/HomeBuildableTerrain.cpp | engine/src/home/HomeClientViewModel.cpp | engine/src/home/HomeDysonProgression.cpp | engine/src/home/HomeFactoryNetwork.cpp | engine/src/home/HomeFactoryOverlayModel.cpp | engine/src/home/HomeHabitableWorldRules.cpp | engine/src/home/HomeImportExportLogistics.cpp | engine/src/home/HomeLogisticsNetwork.cpp | engine/src/home/HomeOffworldOutpost.cpp | engine/src/home/HomeOutpostExportPlanner.cpp | engine/src/home/HomePowerGrid.cpp | engine/src/home/HomeProductionPlanner.cpp | engine/src/home/HomeShipBuilderBay.cpp | engine/src/home/HomeShipPrep.cpp | engine/src/home/HomeShipyardBuildQueue.cpp | engine/src/home/HomeShipyardProgression.cpp | engine/src/home/HomeSolarSystem.cpp | engine/src/home/HomeSurfaceBuilder.cpp | engine/src/home/HomeSurfacePresentation.cpp | engine/src/home/HomeSurfaceProductionGraph.cpp | engine/src/home/HomeSurfaceWorldView.cpp | engine/src/home/HomeSystemOverview.cpp | engine/src/home/HomeWorldConfigCatalog.cpp,Historical/optional-campaign lane; do not reactivate wholesale.
input,3,3,0,ACTIVE_BUILD,,
integration,5,5,0,ACTIVE_BUILD,,
interior,10,10,0,ACTIVE_BUILD,,
inventory,2,2,0,ACTIVE_BUILD,,
migration,3,0,3,DETACHED_REFERENCE,engine/src/migration/CppConversionBacklog.cpp | engine/src/migration/CppConversionRoadmapStatus.cpp | engine/src/migration/CppNormalizationRoadmap.cpp,"Migration/reference implementation, not production runtime."
mining,4,4,0,ACTIVE_BUILD,,
modeling,1,1,0,ACTIVE_BUILD,,
navigation,16,16,0,ACTIVE_BUILD,,
networking,2,2,0,ACTIVE_BUILD,,
normalization,2,2,0,ACTIVE_BUILD,,
notification,1,1,0,ACTIVE_BUILD,,
platform,1,1,0,ACTIVE_BUILD,,
power,1,1,0,ACTIVE_BUILD,,
procedural,9,9,0,ACTIVE_BUILD,,
quest,2,2,0,ACTIVE_BUILD,,
rendering,26,26,0,ACTIVE_BUILD,,
reputation,1,1,0,ACTIVE_BUILD,,
research,2,2,0,ACTIVE_BUILD,,
roguelite,3,0,3,DETACHED_REFERENCE,engine/src/roguelite/RogueliteDirector.cpp | engine/src/roguelite/RogueliteLoopModel.cpp | engine/src/roguelite/RunPrepChecklist.cpp,Historical/optional-campaign lane; do not reactivate wholesale.
rpg,3,3,0,ACTIVE_BUILD,,
runtime,17,17,0,ACTIVE_BUILD,,
salvage,1,1,0,ACTIVE_BUILD,,
scanning,6,6,0,ACTIVE_BUILD,,
scripting,1,1,0,ACTIVE_BUILD,,
ship_editor,29,29,0,ACTIVE_BUILD,,
ships,42,42,0,ACTIVE_BUILD,,
station,22,22,0,ACTIVE_BUILD,,
trade_route,3,3,0,ACTIVE_BUILD,,
trading,2,2,0,ACTIVE_BUILD,,
travel,4,0,4,DETACHED_REFERENCE,engine/src/travel/InterstellarRailTravel.cpp | engine/src/travel/RailRouteEncounterModel.cpp | engine/src/travel/RailRouteFittingAdvisor.cpp | engine/src/travel/RailTravelPresentation.cpp,Historical/optional-campaign lane; do not reactivate wholesale.
tutorial,1,1,0,ACTIVE_BUILD,,
ui,19,19,0,ACTIVE_BUILD,,
weapons,2,2,0,ACTIVE_BUILD,,
world,3,3,0,ACTIVE_BUILD,,
