legacy_file,disposition,native_authority_or_reason
AvorionLike/Core/AI/AIComponent.cs,NATIVE_REPLACED,engine/ai + scanning + factions/FactionSecuritySystem
AvorionLike/Core/AI/AIDecisionSystem.cs,NATIVE_REPLACED,engine/ai + scanning + factions/FactionSecuritySystem
AvorionLike/Core/AI/AIEnums.cs,NATIVE_REPLACED,engine/ai + scanning + factions/FactionSecuritySystem
AvorionLike/Core/AI/AIMovementSystem.cs,NATIVE_REPLACED,engine/ai + scanning + factions/FactionSecuritySystem
AvorionLike/Core/AI/AIPerceptionSystem.cs,NATIVE_REPLACED,engine/ai + scanning + factions/FactionSecuritySystem
AvorionLike/Core/AI/AIScanningBehavior.cs,NATIVE_REPLACED,engine/ai + scanning + factions/FactionSecuritySystem
AvorionLike/Core/AI/AISystem.cs,NATIVE_REPLACED,engine/ai + scanning + factions/FactionSecuritySystem
AvorionLike/Core/Building/EnhancedBuildSystem.cs,NATIVE_REPLACED,engine/ship_editor + ships + interior/ShipInteriorSystem
AvorionLike/Core/Building/ShipInteriorSystem.cs,NATIVE_REPLACED,engine/ship_editor + ships + interior/ShipInteriorSystem
AvorionLike/Core/Combat/CombatSystem.cs,NATIVE_REPLACED,engine/combat + weapons + ships/DamageComponent
AvorionLike/Core/Combat/DamageSystem.cs,NATIVE_REPLACED,engine/combat + weapons + ships/DamageComponent
AvorionLike/Core/Combat/DestructionSystem.cs,NATIVE_REPLACED,engine/combat + weapons + ships/DamageComponent
AvorionLike/Core/Combat/EnhancedCombatSystem.cs,NATIVE_REPLACED,engine/combat + weapons + ships/DamageComponent
AvorionLike/Core/Combat/FittingComponent.cs,NATIVE_REPLACED,engine/combat + weapons + ships/DamageComponent
AvorionLike/Core/Combat/FittingSystem.cs,NATIVE_REPLACED,engine/combat + weapons + ships/DamageComponent
AvorionLike/Core/Combat/WeaponFactory.cs,NATIVE_REPLACED,engine/combat + weapons + ships/DamageComponent
AvorionLike/Core/Common/ErrorHandler.cs,NATIVE_REPLACED,engine/core/logging + core/config + native validation/tests
AvorionLike/Core/Common/ValidationHelper.cs,NATIVE_REPLACED,engine/core/logging + core/config + native validation/tests
AvorionLike/Core/Config/DebugConfig.cs,NATIVE_REPLACED,engine/core/config/ConfigurationManager
AvorionLike/Core/Configuration/ConfigurationManager.cs,NATIVE_REPLACED,engine/core/config/ConfigurationManager + rendering/RenderingConfiguration
AvorionLike/Core/Configuration/GameConfiguration.cs,NATIVE_REPLACED,engine/core/config/ConfigurationManager + rendering/RenderingConfiguration
AvorionLike/Core/Configuration/NewGameSettings.cs,NATIVE_REPLACED,engine/core/config/ConfigurationManager + rendering/RenderingConfiguration
AvorionLike/Core/DevTools/DebugConsole.cs,NATIVE_REPLACED,engine/debug_tools/DeveloperConsole + DebugRenderer + PerformanceMonitor
AvorionLike/Core/DevTools/DebugRenderer.cs,NATIVE_REPLACED,engine/debug_tools/DeveloperConsole + DebugRenderer + PerformanceMonitor
AvorionLike/Core/DevTools/DevToolsManager.cs,NATIVE_REPLACED,engine/debug_tools/DeveloperConsole + DebugRenderer + PerformanceMonitor
