Domain,Feature,CurrentMaturity_0_to_5,Evidence,VerticalSliceTarget,KeyGap,RecommendedPhase
Project operations,Full quality gate / ProjectOps,4,81/81 CTest GREEN in latest certified run; runtime smoke and live Shipyard gate pass,5,Keep gate authoritative; add vertical-slice acceptance and generated status truth,0
Project operations,Source provenance / supply chain,4,Certified Greyoxide source manifest and supply-chain gate,5,"Extend provenance to all future asset packs, generated derivatives, licenses",0
Project operations,Git / ForgePY compatibility,4,"Local Git, ForgeGit/Internal Git and GitHub path operational after divergence recovery",5,Normalize guarded divergence/publish path in ForgePY and project adapter,0
Native runtime,C++ runtime authority,4,Native C++ only; retired managed runtime not active,5,Maintain single runtime authority and remove stale docs that imply C# runtime,0
World architecture,Hierarchical spatial frames,2,SpatialFrameSystem exists and current design work references nested frames,4,Promote to authoritative full-3D world-frame contract; cell+local/double policy; frame migration rules,1
World architecture,Large-world coordinate model,1,Partial spatial abstractions exist; no final unified solar/planet/interior precision contract,4,"Lock frame hierarchy, camera-relative rendering, local physics worlds, quantized construction coordinates",1
World architecture,Simulation LOD / bubbles,1,Region streaming and simulation LOD systems exist as foundations,4,Define strategic/operational/local/surface layers and deterministic handoff,1
Persistence,Stable identity / save schema,2,"Save managers, persistent universe and assembly deltas exist",4,"Stable IDs, versioned schemas, migrations, replay-safe deltas, authoritative ownership",1
Persistence,Home-system persistence,1,HomeSystemSaveGame exists but completion audit identifies temporary parser path,4,Replace temporary parser before content/schema growth; add corruption/recovery tests,1
Flight,Direct ship flight,2,Native flight/control systems and runtime ship controls exist,4,Lock full-3D flight authority; integrate mass/inertia/thruster placement and assisted modes,3
Flight,Tactical/command flight mode,2,"Strategic camera, fleet command and C-Beams/EVE-like direction exist",4,"Make tactical plane a presentation/control mode over full-3D sim, not world dimensionality",3
Combat,Ship combat core,3,"Combat, targeting, weapons, missiles, shields, status effects exist and tests pass",4,"Integrate physical subsystems, armor penetration, damage propagation, tactical feedback and AI",3
Combat,Conformal shield rendering,1,Shield gameplay system exists; visual source gate exists,4,"Generate exterior envelope shell, impact ripple fields, LOD/mesh cache, shield segmentation",7
Damage,Structural integrity / detachment,2,StructuralIntegrity and attachment integrity systems exist,4,"Explicit structural graph, connection semantics, deterministic split/reparent, inherited momentum",3
Damage,Physicalized component damage,2,ModuleCapabilityDamageSystem and component health concepts exist,4,"Tie damage to power/data/coolant/fuel/ammo, repairs, salvageable intact modules",3
Construction,Universal construction foundation,2,UniversalConstructionSystem and assembly systems exist,5,Normalize around BuildElement vocabulary and compile pipeline,2
Construction,Parametric structural primitives,0,Not yet an authoritative construction representation,4,Add stretchable hull plate/beam/bulkhead/floor/ramp/window primitives on quantized coordinates,2
Construction,Authored kitbash modules,3,"156 certified Greyoxide modules; classification, sockets and recipes exist",5,"Keep authored functional modules; improve classification, material zones, interiors, provenance",2
Construction,Semantic sockets / attachment faces,2,"Socket systems, overrides and orientation constraints exist",5,Unify structural/power/data/fuel/interior/weapon/docking semantics; eliminate proximity-only attachment,2
Construction,Structural connector generation,1,Connector concept and PCG repair logic exist informally,4,"First-class generated connectors between authored modules, faction-styled and validated",2
Construction,Local face grid / snapping,1,Transform/orientation/editor systems exist; no locked FaceFrame contract,4,Assembly Grid + Face Grid + Socket Grid + Free Transform placement modes,2
Construction,Nested subassemblies / prefab inheritance,1,Assembly hierarchy foundations exist,4,Reusable nacelles/turrets/interiors/doors as nested blueprints with optional inheritance break,2
Construction,Undo / redo command model,1,Editor action infrastructure exists,5,Every build operation becomes serializable BuildCommand supporting undo/redo/network/persistence/AI,2
Construction,Compiled render/collision representation,1,Current renderer loads modular geometry; no unified build compiler contract,4,"Separate editable representation from dirty render clusters, collision compounds and nav data",2
