domain,feature,maturity_0_5,evidence,next_acceptance
Project operations,Standalone internal PCC,3,R6R2 patch engine/wrapper exists; PowerShell 5.1 compatibility repaired; current local tree still needs Windows Full Gate,"Certify root .patch prompt, option 1, play test, option 2 commit/push on Windows"
Project operations,Source authority / governed rollups,4,"ProjectOps source fingerprints, rollups, root audit and gate records are established",Re-certify current alignment line and keep transport debris out of root
Project operations,Supply chain / provenance,4,Pinned Greyoxide source manifest and supply-chain gate exist,Bring every required Quaternius/planet/material source under same exact-version provenance before runtime dependence
Architecture,Runtime composition root,1,"Engine ECS, NativeRuntimeServices and NativeGameApplication each own stateful systems",Create one SubspaceRuntimeComposition/WorldSimulationRuntime authority; shells/adapters reference it
Architecture,Evidence-backed completion truth,3,Completion truth registry and 0-5 audit matrix exist; new static gate prevents key authority drift,Generate status automatically from machine evidence and Full Gate records
World,Hierarchical spatial frames,2,Double-precision parent frames and world transforms compile; nested reparent inverse is translation-only,Implement rotation-aware inverse/reparent and certify moving ship/carrier/vehicle frames
World,Large-world local physics spaces,1,Spatial frame foundation exists,Define local physics bubble/precision rebasing and state handoff policy
World,Solar-system simulation / maps,2,System map/navigation/orbital foundations are compiled,Converge into shared runtime composition and validate scale/time against Reference Solar System
Travel,Local 3D flight,3,Playable native flight/physics/presentation foundations exist,"Finish full 3D authority, mass/COM/inertia/resource coupling and production controls"
Travel,In-system travel drive,2,VectorTravelSystem has align/charge/cruise/decelerate states,"Tune minute-scale travel, gravity restrictions, interdiction, hazards, streaming/prefetch and persistence"
Travel,Interstellar jump gates,0,No compiled physical JumpGate transit authority found,"Implement gate entity/network, destination selection/access, warp tunnel, DestinationReady and same-ShipId frame handoff"
Travel,Legacy rail travel,0,Source exists outside build graph and current docs mark it superseded,Mine reusable risk/fitting ideas only; never restore as interstellar authority
Planet,Planet data / survey foundations,2,PlanetSurveySystem and PlanetWorldEngineSystem foundations compile,Unify survey records with exploration economy and persistent world identity
Planet,Spherical multi-resolution planet streaming,1,PlanetWorldEngine has terrain/chunk scaffolding but not production orbital-to-surface spherical streaming,"Implement cube-sphere/quadtree-equivalent LOD, regional streaming, async terrain/assets and handoffs"
